Weight,Nested,Order,Procedure,TrialID,PicFile2,Sound,WavFile2,Condition,Image-id,conid,AOI1,AOI2,AOI3,AOI4,AOI1-id,AOI2-id,AOI3-id,AOI4-id,targetAOI,competitorAOI,rhymeAOI,distAOI,,,,
,,14,,F26_07,F26_07.bmp,fe2,m2-fe2.wav,SHRY,53.bmp,7,ra1,ga3,me4,fe2,50,61,17,53,4,2,3,1,,,,
,,15,,T10_03,T10_03.bmp,gi1,f2-gi1.wav,SLTP,89.bmp,3,gi3,piu4,gi1,zi1,83,39,89,34,3,1,4,2,,,,
,,16,,F27_07,F27_07.bmp,be3,f1-be3.wav,SHRY,122.bmp,7,be3,ziu3,kiu4,gi1,122,103,54,31,1,4,3,2,,,,
,,17,,F28_09,F28_09.bmp,ga2,m1-ga2.wav,SHDI,69.bmp,9,ri4,fai3,fe1,ga2,65,55,36,69,4,3,2,1,,,,
,,18,,T07_02,T07_02.bmp,ri2,m1-ri2.wav,SHTI,1.bmp,2,fi2,ri2,ri4,ziu3,87,1,65,103,2,3,1,4,,,,
,,19,,F29_09,F29_09.bmp,kiu2,m2-kiu2.wav,SHDI,18.bmp,9,rai1,kiu4,kiu2,fai3,112,54,18,55,3,1,4,2,,,,
,,20,,F30_11,F30_11.bmp,fiu1,f2-fiu1.wav,FILL,30.bmp,11,fiu1,rai2,zi3,me4,30,67,45,94,1,4,2,3,,,,
,,21,,T02_01,T02_01.bmp,be2,f1-be2.wav,SHTP,73.bmp,1,fe2,ra3,be2,be4,53,120,73,72,3,4,1,2,,,,
,,22,,F31_07,F31_07.bmp,ra4,f1-ra4.wav,SHRY,132.bmp,7,zi1,ra4,fi3,be1,34,132,56,5,2,1,3,4,,,,
,,23,,F32_09,F32_09.bmp,fi4,f2-fi4.wav,SHDI,129.bmp,9,fi4,fai3,ziu2,me1,129,66,38,40,1,3,4,2,,,,
,,24,,T15_04,T15_04.bmp,rai2,f2-rai2.wav,SLTI,67.bmp,4,fai2,rai4,pe3,rai2,13,16,22,67,4,2,1,3,,,,
,,25,,F33_09,F33_09.bmp,ri1,f1-ri1.wav,SHDI,106.bmp,9,biu3,ri1,fe1,piu4,41,106,108,39,2,1,3,3,,,,
,,26,,F34_07,F34_07.bmp,ziu4,m2-ziu4.wav,SHRY,123.bmp,7,fe1,gi3,ziu4,pe2,36,83,123,68,3,2,1,4,,,,
,,27,,T06_02,T06_02.bmp,fe3,m2-fe3.wav,SHTI,29.bmp,2,kiu2,be3,fe3,fe1,18,122,29,108,3,4,2,1,,,,
,,28,,F35_07,F35_07.bmp,kiu1,f2-kiu1.wav,SHRY,105.bmp,7,fai4,gi2,piu2,kiu1,32,134,26,105,4,1,2,3,,,,
,,29,,F36_05,F36_05.bmp,ga3,m1-ga3.wav,SHHP,61.bmp,5,kiu4,ziu2,ga3,ra1,137,38,61,50,3,1,2,4,,,,
,,30,,T11_03,T11_03.bmp,me4,m1-me4.wav,SLTP,17.bmp,3,pe4,me4,rai1,me2,107,17,112,78,2,4,1,3,,,,
,,31,,F37_07,F37_07.bmp,fi2,m1-fi2.wav,SHRY,87.bmp,7,pe1,be2,me4,fi2,46,73,94,87,4,1,3,2,,,,
,,32,,F38_11,F38_11.bmp,pia4,m2-pia4.wav,FILL,76.bmp,11,zia2,biu1,pia4,fi3,9,127,76,56,3,4,2,1,,,,
,,33,,T14_04,T14_04.bmp,zi4,m1-zi4.wav,SLTI,3.bmp,4,zi4,fai1,gi4,zi3,3,135,48,45,1,4,3,2,,,,
,,34,,F39_07,F39_07.bmp,ri3,f2-ri3.wav,SHRY,27.bmp,7,gi1,ri3,pe2,rai4,89,27,51,84,2,3,4,1,,,,
,,35,,F40_07,F40_07.bmp,ga1,m1-ga1.wav,SHRY,128.bmp,7,ga1,kiu4,kiu3,ziu2,128,54,114,90,1,2,3,4,,,,
,,36,,T03_01,T03_01.bmp,fi3,m2-fi3.wav,SHTP,2.bmp,1,fi3,fi1,ri3,ga2,2,35,27,69,1,2,4,3,,,,
,,37,,F41_06,F41_06.bmp,piu2,f1-piu2.wav,SLHP,26.bmp,6,ziu1,fe4,piu2,fi3,33,99,26,56,3,4,2,1,,,,
,,38,,F42_11,F42_11.bmp,zia2,m1-zia2.wav,FILL,9.bmp,11,ziu2,zia2,fe1,me3,38,9,36,110,2,4,1,3,,,,
,,39,,T05_02,T05_02.bmp,ziu1,f1-ziu1.wav,SHTI,33.bmp,2,ziu2,ri4,kiu1,ziu1,38,20,105,33,4,1,3,2,,,,
,,40,,F43_05,F43_05.bmp,rai4,f2-rai4.wav,SLHP,84.bmp,5,rai4,piu3,fi1,be2,84,121,35,125,1,4,2,3,,,,
,,41,,F44_05,F44_05.bmp,pe2,m1-pe2.wav,SLHP,51.bmp,5,ra1,ziu2,pe2,biu4,91,38,51,111,3,4,2,1,,,,
,,42,,T13_04,T13_04.bmp,biu3,m2-biu3.wav,SLTI,41.bmp,4,zi2,biu3,biu1,piu3,80,41,127,121,2,3,4,1,,,,
,,43,,F45_06,F45_06.bmp,gi1,m2-gi1.wav,SLHP,31.bmp,6,piu2,pe4,ra3,gi1,71,107,120,31,4,3,1,2,,,,
,,44,,F46_05,F46_05.bmp,ri4,f1-ri4.wav,SHHP,20.bmp,5,be4,ri4,zi2,ga3,72,20,80,61,2,3,4,1,,,,
,,45,,T12_03,T12_03.bmp,fai3,m2-fai3.wav,SLTP,66.bmp,3,fai3,rai3,fai4,gi2,66,79,32,134,1,3,2,4,,,,
,,46,,F47_05,F47_05.bmp,ra1,f2-ra1.wav,SHHP,50.bmp,5,zi3,gi4,me2,ra1,98,48,78,50,4,2,3,1,,,,
,,47,,F48_05,F48_05.bmp,fe1,m2-fe1.wav,SHHP,36.bmp,5,fe1,ga4,zi3,biu2,36,82,98,136,1,3,4,2,,,,
,,48,,T04_01,T04_01.bmp,kiu4,m1-kiu4.wav,SHTP,137.bmp,1,kiu3,ziu4,ri1,kiu4,114,123,106,137,4,1,2,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
